,"(0.0, 0.5]","(0.5, 1.0]","(1.0, 1.5]","(1.5, 2.0]","(2.0, 2.5]","(2.5, 3.0]","(3.0, 3.5]","(3.5, 4.0]","(4.0, 4.5]","(4.5, 5.0]",Row Total
"(0.0, 0.5]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(0.5, 1.0]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(1.0, 1.5]",2.0,0.0,17395.0,0.0,6.0,0.0,5.0,0.0,20.0,96.0,17524.0
"(1.5, 2.0]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(2.0, 2.5]",0.0,0.0,66.0,0.0,21767.0,0.0,87.0,0.0,96.0,291.0,22307.0
"(2.5, 3.0]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(3.0, 3.5]",0.0,0.0,45.0,0.0,300.0,0.0,24056.0,0.0,783.0,586.0,25770.0
"(3.5, 4.0]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(4.0, 4.5]",1.0,0.0,616.0,0.0,1111.0,0.0,3043.0,0.0,25517.0,3678.0,33966.0
"(4.5, 5.0]",2.0,0.0,2292.0,0.0,4862.0,0.0,11000.0,0.0,30346.0,64169.0,112671.0
Column Total,5.0,0.0,20414.0,0.0,28046.0,0.0,38191.0,0.0,56762.0,68820.0,212238.0
