,"(0.0, 0.5]","(0.5, 1.0]","(1.0, 1.5]","(1.5, 2.0]","(2.0, 2.5]","(2.5, 3.0]","(3.0, 3.5]","(3.5, 4.0]","(4.0, 4.5]","(4.5, 5.0]",Row Total
"(0.0, 0.5]",17047.0,0.0,21583.0,0.0,13885.0,0.0,4703.0,0.0,837.0,2.0,58057.0
"(0.5, 1.0]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(1.0, 1.5]",3881.0,0.0,14926.0,0.0,16171.0,0.0,8711.0,0.0,2159.0,10.0,45858.0
"(1.5, 2.0]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(2.0, 2.5]",1441.0,0.0,952.0,0.0,26099.0,0.0,4354.0,0.0,1286.0,5.0,34137.0
"(2.5, 3.0]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(3.0, 3.5]",586.0,0.0,344.0,0.0,644.0,0.0,43059.0,0.0,338.0,4.0,44975.0
"(3.5, 4.0]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(4.0, 4.5]",64.0,0.0,52.0,0.0,45.0,0.0,153.0,0.0,27733.0,13.0,28060.0
"(4.5, 5.0]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1146.0,1151.0
Column Total,23019.0,0.0,37857.0,0.0,56844.0,0.0,60980.0,0.0,32358.0,1180.0,212238.0
