,"(0.0, 0.2]","(0.2, 0.4]","(0.4, 0.6000000000000001]","(0.6000000000000001, 0.8]","(0.8, 1.0]","(1.0, 1.2000000000000002]","(1.2000000000000002, 1.4000000000000001]","(1.4000000000000001, 1.6]","(1.6, 1.8]","(1.8, 2.0]",Row Total
"(0.0, 0.2]",193107.0,0.0,0.0,0.0,0.0,3438.0,0.0,0.0,0.0,3.0,196548.0
"(0.2, 0.4]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(0.4, 0.6000000000000001]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(0.6000000000000001, 0.8]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(0.8, 1.0]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(1.0, 1.2000000000000002]",806.0,0.0,0.0,0.0,0.0,14655.0,0.0,0.0,0.0,11.0,15472.0
"(1.2000000000000002, 1.4000000000000001]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(1.4000000000000001, 1.6]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(1.6, 1.8]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(1.8, 2.0]",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,217.0,218.0
Column Total,193914.0,0.0,0.0,0.0,0.0,18093.0,0.0,0.0,0.0,231.0,212238.0
